s,k,E,N,phi,r,V,beta,delta_cmd,wheel_torque_cmd,rear_wr,e_min,e_max
0.000000,-0.003990,-3.137350,-1.467355,-1.640924,-0.019952,5.000000,0.000000,-0.001037,0.000000,5.000000,-0.260000,0.780000
0.099885,-0.004205,-3.037712,-1.474374,-1.641333,-0.021023,5.000000,0.000000,-0.001093,0.000000,5.000000,-0.240000,0.800000
0.199769,-0.005184,-2.938077,-1.481436,-1.641802,-0.025922,5.000000,0.000000,-0.001348,0.000000,5.000000,-0.220000,0.820000
0.299654,-0.005792,-2.838446,-1.488549,-1.642350,-0.028961,5.000000,0.000000,-0.001506,0.000000,5.000000,-0.220000,0.800000
0.399538,-0.007315,-2.738820,-1.495722,-1.643005,-0.036573,5.000000,0.000000,-0.001902,0.000000,5.000000,-0.240000,0.800000
0.499423,-0.009849,-2.639198,-1.502969,-1.643861,-0.049247,5.000000,0.000000,-0.002561,0.000000,5.000000,-0.200000,0.820000
0.599308,-0.013433,-2.539584,-1.510315,-1.645022,-0.067164,5.000000,0.000000,-0.003493,0.000000,5.000000,-0.200000,0.820000
0.699192,-0.018479,-2.439980,-1.517797,-1.646613,-0.092397,5.000000,0.000000,-0.004805,0.000000,5.000000,-0.200000,0.840000
0.799077,-0.024345,-2.340390,-1.525465,-1.648761,-0.121727,5.000000,0.000000,-0.006330,0.000000,5.000000,-0.180000,0.840000
0.898961,-0.027157,-2.240819,-1.533371,-1.651363,-0.135783,5.000000,0.000000,-0.007061,0.000000,5.000000,-0.180000,0.820000
0.998846,-0.024350,-2.141269,-1.541541,-1.653948,-0.121752,5.000000,0.000000,-0.006331,0.000000,5.000000,-0.180000,0.840000
1.098731,-0.020243,-2.041739,-1.549950,-1.656153,-0.101217,5.000000,0.000000,-0.005263,0.000000,5.000000,-0.180000,0.840000
1.198615,-0.019119,-1.942227,-1.558564,-1.658109,-0.095594,5.000000,0.000000,-0.004971,0.000000,5.000000,-0.200000,0.860000
1.298500,-0.018819,-1.842731,-1.567369,-1.660017,-0.094095,5.000000,0.000000,-0.004893,0.000000,5.000000,-0.180000,0.860000
1.398384,-0.017010,-1.743252,-1.576360,-1.661814,-0.085051,5.000000,0.000000,-0.004423,0.000000,5.000000,-0.200000,0.880000
1.498269,-0.014819,-1.643788,-1.585519,-1.663391,-0.074093,5.000000,0.000000,-0.003853,0.000000,5.000000,-0.180000,0.880000
1.598154,-0.013778,-1.544338,-1.594826,-1.664814,-0.068891,5.000000,0.000000,-0.003582,0.000000,5.000000,-0.200000,0.860000
1.698038,-0.013040,-1.444901,-1.604271,-1.666157,-0.065198,5.000000,0.000000,-0.003390,0.000000,5.000000,-0.200000,0.880000
1.797923,-0.011923,-1.345476,-1.613844,-1.667407,-0.059617,5.000000,0.000000,-0.003100,0.000000,5.000000,-0.200000,0.880000
1.897807,-0.010534,-1.246063,-1.623536,-1.668530,-0.052671,5.000000,0.000000,-0.002739,0.000000,5.000000,-0.200000,0.880000
1.997692,-0.009302,-1.146660,-1.633333,-1.669513,-0.046509,5.000000,0.000000,-0.002418,0.000000,5.000000,-0.220000,0.880000
2.097577,-0.008362,-1.047266,-1.643222,-1.670401,-0.041808,5.000000,0.000000,-0.002174,0.000000,5.000000,-0.220000,0.900000
2.197461,-0.006684,-0.947881,-1.653194,-1.671166,-0.033420,5.000000,0.000000,-0.001738,0.000000,5.000000,-0.220000,0.880000
