s,k,E,N,phi,r,V,beta,delta_cmd,wheel_torque_cmd,rear_wr,e_min,e_max
0.000000,0.200000,0.000000,0.000000,0.000000,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
1.308997,0.200000,-0.170371,1.294095,0.261799,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
2.617994,0.200000,-0.669873,2.500000,0.523599,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
3.926991,0.200000,-1.464466,3.535534,0.785398,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
5.235988,0.200000,-2.500000,4.330127,1.047198,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
6.544985,0.200000,-3.705905,4.829629,1.308997,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
7.853982,0.200000,-5.000000,5.000000,1.570796,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
9.162979,0.200000,-6.294095,4.829629,1.832596,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
10.471976,0.200000,-7.500000,4.330127,2.094395,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
11.780972,0.200000,-8.535534,3.535534,2.356194,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
13.089969,0.200000,-9.330127,2.500000,2.617994,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
14.398966,0.200000,-9.829629,1.294095,2.879793,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
15.707963,0.200000,-10.000000,0.000000,3.141593,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
17.016960,0.200000,-9.829629,-1.294095,3.403392,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
18.325957,0.200000,-9.330127,-2.500000,3.665191,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
19.634954,0.200000,-8.535534,-3.535534,3.926991,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
20.943951,0.200000,-7.500000,-4.330127,4.188790,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
22.252948,0.200000,-6.294095,-4.829629,4.450590,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
23.561945,0.200000,-5.000000,-5.000000,4.712389,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
24.870941,0.200000,-3.705905,-4.829629,4.974188,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
26.179939,0.200000,-2.500000,-4.330127,5.235988,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
27.488936,0.200000,-1.464466,-3.535534,5.497787,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
28.797932,0.200000,-0.669873,-2.500000,5.759587,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
30.106929,0.200000,-0.170371,-1.294095,6.021386,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
31.415927,0.200000,0.000000,0.000000,6.283185,0.300000,1.500000,0.000000,0.062319,0.000000,1.500000,-0.750000,0.750000
